year,geo,country_name,ceparema,activity,inv_gov,inv_corp_spec,inv_corp_anc,inv_corp_total,inv_total,population,inv_per_capita,gdp_per_capita
2014,AT,Austria,TOT_CEPA,Total environmental protection activities,18700000,401300000,215500000,616800000,635500000,8507786.0,74.69628408613005,43070.0
2014,BE,Belgium,TOT_CEPA,Total environmental protection activities,359200000,773500000,499900000,1273400000,1632600000,11180840.0,146.01765162545928,39960.0
2014,BG,Bulgaria,TOT_CEPA,Total environmental protection activities,574500000,34400000,224100000,258500000,833000000,7117453.0,117.036248781692,7770.0
2014,CH,Switzerland,TOT_CEPA,Total environmental protection activities,1030100000,407700000,460600000,868300000,1898400000,8139631.0,233.2292458957906,75620.0
2014,DE,Germany,TOT_CEPA,Total environmental protection activities,3692000000,5921000000,2466700000,8387700000,12079700000,80767463.0,149.56146387809656,40850.0
2014,EL,Greece,TOT_CEPA,Total environmental protection activities,683000000,68700000,31000000,99700000,782700000,10894294.0,71.84494929180359,16030.0
2014,FI,Finland,TOT_CEPA,Total environmental protection activities,45000000,310000000,,310000000,355000000,5451270.0,65.12243935816791,40650.0
2014,HR,Croatia,TOT_CEPA,Total environmental protection activities,100300000,39300000,113200000,152500000,252800000,4217632.0,59.93884720146281,11370.0
2014,IE,Ireland,TOT_CEPA,Total environmental protection activities,464000000,43700000,49800000,93500000,557500000,4637852.0,120.20650939271025,48770.0
2014,LT,Lithuania,TOT_CEPA,Total environmental protection activities,117600000,78300000,107600000,185900000,303500000,2947862.0,102.95597283726308,14100.0
2014,LV,Latvia,TOT_CEPA,Total environmental protection activities,41500000,,,0,41500000,2001468.0,20.734780670987494,13140.0
2014,MT,Malta,TOT_CEPA,Total environmental protection activities,19900000,1400000,2600000,4000000,23900000,428156.0,55.82077560515326,23840.0
2014,NO,Norway,TOT_CEPA,Total environmental protection activities,841800000,,228100000,228100000,1069900000,5109056.0,209.41246288942614,60840.0
2014,PL,Poland,TOT_CEPA,Total environmental protection activities,1015500000,1020700000,1369000000,2389700000,3405200000,38017856.0,89.56843857791455,11360.0
2014,PT,Portugal,TOT_CEPA,Total environmental protection activities,235400000,135700000,85600000,221300000,456700000,10444092.0,43.72807133449226,18560.0
2014,RO,Romania,TOT_CEPA,Total environmental protection activities,540000000,50700000,540800000,591500000,1131500000,19947311.0,56.72443769488529,9100.0
2014,SE,Sweden,TOT_CEPA,Total environmental protection activities,731600000,314300000,,314300000,1045900000,9644864.0,108.4411350953212,44330.0
2014,SI,Slovenia,TOT_CEPA,Total environmental protection activities,267600000,25700000,202700000,228400000,496000000,2061085.0,240.64994893466306,19720.0
2015,AT,Austria,TOT_CEPA,Total environmental protection activities,21000000,414400000,200000000,614400000,635400000,8584926.0,74.01345101868088,43200.0
2015,BE,Belgium,TOT_CEPA,Total environmental protection activities,415800000,742000000,521400000,1263400000,1679200000,11237274.0,149.4312588622472,40310.0
2015,BG,Bulgaria,TOT_CEPA,Total environmental protection activities,731500000,56300000,154000000,210300000,941800000,7029690.0,133.97461338977965,8130.0
2015,CH,Switzerland,TOT_CEPA,Total environmental protection activities,1168500000,449600000,518000000,967600000,2136100000,8237666.0,259.30888676477053,75780.0
2015,DE,Germany,TOT_CEPA,Total environmental protection activities,3248000000,5549000000,2517000000,8066000000,11314000000,81197537.0,139.33920187751508,41230.0
2015,EL,Greece,TOT_CEPA,Total environmental protection activities,615000000,59300000,21500000,80800000,695800000,10818041.0,64.3184842801021,16100.0
2015,FI,Finland,TOT_CEPA,Total environmental protection activities,37300000,307000000,,307000000,344300000,5471753.0,62.9231619190413,40700.0
2015,HR,Croatia,TOT_CEPA,Total environmental protection activities,91800000,37100000,114500000,151600000,243400000,4180915.0,58.21692141552746,11760.0
2015,IE,Ireland,TOT_CEPA,Total environmental protection activities,435000000,45900000,21100000,67000000,502000000,4677627.0,107.31937369097622,60210.0
2015,LT,Lithuania,TOT_CEPA,Total environmental protection activities,86100000,69200000,63700000,132900000,219000000,2926644.0,74.82973672233453,14630.0
2015,LV,Latvia,TOT_CEPA,Total environmental protection activities,49000000,,,0,49000000,1986096.0,24.671516381886878,13750.0
2015,MT,Malta,TOT_CEPA,Total environmental protection activities,61500000,9200000,4100000,13300000,74800000,438805.0,170.46296190790898,25520.0
2015,NO,Norway,TOT_CEPA,Total environmental protection activities,862900000,,247500000,247500000,1110400000,5165802.0,214.9521023066699,61450.0
2015,PL,Poland,TOT_CEPA,Total environmental protection activities,1164900000,1172200000,1286000000,2458200000,3623100000,38005614.0,95.33065299247632,11870.0
2015,PT,Portugal,TOT_CEPA,Total environmental protection activities,266600000,225600000,85000000,310600000,577200000,10395121.0,55.52604919173139,18920.0
2015,RO,Romania,TOT_CEPA,Total environmental protection activities,688500000,115800000,852200000,968000000,1656500000,19870647.0,83.36417027588483,9430.0
2015,SE,Sweden,TOT_CEPA,Total environmental protection activities,850700000,372000000,,372000000,1222700000,9747355.0,125.43915759711224,45790.0
2015,SI,Slovenia,TOT_CEPA,Total environmental protection activities,294200000,82100000,133300000,215400000,509600000,2062874.0,247.0339923815027,20170.0
2016,AT,Austria,TOT_CEPA,Total environmental protection activities,22300000,406000000,273600000,679600000,701900000,8700471.0,80.67379340727646,43550.0
2016,BE,Belgium,TOT_CEPA,Total environmental protection activities,359400000,805000000,547800000,1352800000,1712200000,11311117.0,151.37320213379456,40590.0
2016,BG,Bulgaria,TOT_CEPA,Total environmental protection activities,120100000,37900000,124100000,162000000,282100000,6938759.0,40.655684971909245,8490.0
