year,geo,country_name,ceparema,activity,inv_gov,inv_corp_spec,inv_corp_anc,inv_corp_total,inv_total
2017,FI,Finland,CEPA7,Protection against radiation (excluding external safety),900000.0,,0.0,0.0,900000.0
2017,LV,Latvia,CEPA1,Protection of ambient air and climate,4900000.0,200000.0,,200000.0,5100000.0
2016,CH,Switzerland,CEPA9,Other environmental protection activities,,11000000.0,,11000000.0,11000000.0
2019,AT,Austria,CEPA7,Protection against radiation (excluding external safety),100000.0,100000.0,0.0,100000.0,200000.0
2018,LV,Latvia,CEPA2,Wastewater management,1100000.0,16300000.0,2100000.0,18400000.0,19500000.0
2020,SI,Slovenia,CEPA112_122,Protection of climate and ozone layer,,0.0,56300000.0,56300000.0,56300000.0
2017,PT,Portugal,CEPA3,Waste management,12700000.0,91700000.0,9500000.0,101200000.0,113900000.0
2017,LT,Lithuania,CEPA6,Protection of biodiversity and landscapes,6100000.0,0.0,300000.0,300000.0,6400000.0
2017,FI,Finland,CEPA5,Noise and vibration abatement (excluding workplace protection),14900000.0,0.0,1800000.0,1800000.0,16700000.0
2015,IE,Ireland,CEPA3,Waste management,22400000.0,45000000.0,6900000.0,51900000.0,74300000.0
2021,CH,Switzerland,CEPA4,"Protection and remediation of soil, groundwater and surface water",34500000.0,2000000.0,38500000.0,40500000.0,75000000.0
2017,BE,Belgium,CEPA3,Waste management,216800000.0,694800000.0,25000000.0,719800000.0,936600000.0
2022,NO,Norway,CEPA4,"Protection and remediation of soil, groundwater and surface water",500000.0,1000000.0,,1000000.0,1500000.0
2015,RO,Romania,CEPA3,Waste management,404300000.0,53800000.0,37000000.0,90800000.0,495100000.0
2016,NO,Norway,CEPA8,Environmental research and development,6200000.0,,1300000.0,1300000.0,7500000.0
2018,RO,Romania,CEPA1,Protection of ambient air and climate,1700000.0,100000.0,192400000.0,192500000.0,194200000.0
2016,FI,Finland,CEPA9,Other environmental protection activities,9800000.0,,,0.0,9800000.0
2022,AT,Austria,CEPA3,Waste management,31800000.0,392900000.0,,392900000.0,424700000.0
2014,RO,Romania,CEPA1,Protection of ambient air and climate,79500000.0,100000.0,221600000.0,221700000.0,301200000.0
2022,CH,Switzerland,CEPA6,Protection of biodiversity and landscapes,48200000.0,9600000.0,58000000.0,67600000.0,115800000.0
2021,RO,Romania,CEPA9,Other environmental protection activities,16400000.0,0.0,6300000.0,6300000.0,22700000.0
2014,CH,Switzerland,CEPA5,Noise and vibration abatement (excluding workplace protection),17200000.0,0.0,,0.0,17200000.0
2020,AT,Austria,CEPA2,Wastewater management,7900000.0,473600000.0,,473600000.0,481500000.0
2022,SI,Slovenia,CEPA3,Waste management,11400000.0,13200000.0,,13200000.0,24600000.0
2022,FI,Finland,CEPA7,Protection against radiation (excluding external safety),500000.0,0.0,300000.0,300000.0,800000.0
2016,SE,Sweden,CEPA1,Protection of ambient air and climate,49500000.0,0.0,,0.0,49500000.0
2021,AT,Austria,CEPA8,Environmental research and development,45700000.0,57300000.0,,57300000.0,103000000.0
2016,FI,Finland,CEPA3,Waste management,200000.0,203000000.0,,203000000.0,203200000.0
2018,BG,Bulgaria,CEPA9,Other environmental protection activities,3300000.0,0.0,3400000.0,3400000.0,6700000.0
