freq,ceparema,unit,geo\TIME_PERIOD,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,CEPA1,MIO_EUR,AT,,,,,,,,7.4,5.8,9.3,7.5,13.9,14.3,10.1,12.5,16.3,20.8,,
A,CEPA1,MIO_EUR,BA,,,,,,,,,,,,,,,,,0.0,,
A,CEPA1,MIO_EUR,BE,,,,,,,,,10.2,14.3,17.1,16.4,16.0,20.4,24.9,28.2,45.1,,
A,CEPA1,MIO_EUR,BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.3,0.0,0.0,,
A,CEPA1,MIO_EUR,CH,,,,,,,,,5.8,8.4,3.9,3.2,4.2,3.3,6.3,7.2,6.7,,
A,CEPA1,MIO_EUR,CY,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,MIO_EUR,CZ,,,,,,,,,,,,,2.4,2.4,2.9,3.0,5.1,,
A,CEPA1,MIO_EUR,DE,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,MIO_EUR,DK,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,MIO_EUR,EE,,,,,,,,,6.2,1.3,1.8,1.9,3.0,0.8,1.3,1.5,0.8,,
A,CEPA1,MIO_EUR,EL,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,MIO_EUR,ES,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A,CEPA1,MIO_EUR,EU27_2020,140.5,136.6,128.4,123.8,121.3,125.1,139.3,121.5,124.2,104.9,98.8,145.7,161.9,152.7,119.8,144.3,201.2,198.5,204.0
A,CEPA1,MIO_EUR,FI,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,MIO_EUR,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,MIO_EUR,HR,,,,,,,,,0.3,0.2,0.2,0.2,0.0,0.0,0.1,0.0,0.0,,
A,CEPA1,MIO_EUR,HU,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,MIO_EUR,IE,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,MIO_EUR,IS,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,
A,CEPA1,MIO_EUR,IT,,,,,,,,,,,27.7,32.3,37.6,41.1,34.3,44.2,65.1,,
A,CEPA1,MIO_EUR,LT,,,,,1.4,6.8,7.4,16.7,15.1,1.0,1.9,10.5,5.5,0.7,5.7,11.2,6.1,,
A,CEPA1,MIO_EUR,LU,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,MIO_EUR,LV,,,0.0,0.1,0.3,0.5,6.7,1.1,3.7,3.7,0.4,0.2,0.3,1.5,1.8,0.8,0.2,,
A,CEPA1,MIO_EUR,MK,,,,,,,,,,,,,,,7.3,12.9,,,
A,CEPA1,MIO_EUR,MT,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,MIO_EUR,NL,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,MIO_EUR,NO,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,MIO_EUR,PL,,,,,3.4,2.5,12.5,4.3,13.2,5.6,2.8,2.0,3.5,4.3,2.3,4.8,9.7,,
A,CEPA1,MIO_EUR,PT,,,,,,,,,2.8,1.8,2.3,9.8,15.4,5.8,9.3,12.9,10.0,,
A,CEPA1,MIO_EUR,RO,0.8,1.1,0.4,1.8,1.3,2.7,1.3,0.9,0.1,1.9,0.0,0.0,0.1,0.5,0.0,0.0,0.0,,
