freq,unit,na_item,geo\TIME_PERIOD,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A,CLV20_EUR_HAB,B1GQ,AL,2120.0,2330.0,2440.0,2580.0,2730.0,2880.0,3080.0,3300.0,3550.0,3680.0,3800.0,3910.0,3950.0,4030.0,4130.0,4230.0,4400.0,4550.0,4730.0,4850.0,4710.0,5190.0,5500.0,,,
A,CLV20_EUR_HAB,B1GQ,AT,37880.0,38230.0,38610.0,38880.0,39620.0,40270.0,41370.0,42790.0,43270.0,41620.0,42280.0,43370.0,43450.0,43080.0,43070.0,43200.0,43550.0,44260.0,45140.0,45730.0,42650.0,44580.0,46430.0,45670.0,45140.0,45280.0
A,CLV20_EUR_HAB,B1GQ,BA,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
A,CLV20_EUR_HAB,B1GQ,BE,35370.0,35640.0,36080.0,36300.0,37440.0,38100.0,38810.0,39950.0,39810.0,38740.0,39420.0,39670.0,39510.0,39440.0,39960.0,40310.0,40590.0,41030.0,41610.0,42400.0,40190.0,42530.0,43890.0,44190.0,44410.0,44650.0
A,CLV20_EUR_HAB,B1GQ,BG,4160.0,4460.0,4750.0,5020.0,5380.0,5790.0,6220.0,6670.0,7110.0,6910.0,7060.0,7390.0,7530.0,7600.0,7770.0,8130.0,8490.0,8840.0,9170.0,9650.0,9440.0,10250.0,10740.0,10950.0,11330.0,11710.0
A,CLV20_EUR_HAB,B1GQ,CH,66030.0,66750.0,66530.0,65860.0,67120.0,68690.0,71090.0,73260.0,74230.0,71980.0,73760.0,74140.0,74160.0,74650.0,75620.0,75780.0,76410.0,76770.0,78760.0,79070.0,76710.0,80850.0,83000.0,82440.0,82650.0,83000.0
A,CLV20_EUR_HAB,B1GQ,CY,20500.0,21080.0,21610.0,21910.0,22710.0,23470.0,24170.0,24870.0,25140.0,23980.0,23890.0,23390.0,22280.0,20830.0,20490.0,21140.0,22410.0,23500.0,24690.0,25790.0,24630.0,27030.0,28850.0,29320.0,29950.0,30590.0
A,CLV20_EUR_HAB,B1GQ,CZ,13410.0,13860.0,14110.0,14570.0,15250.0,16180.0,17200.0,18050.0,18330.0,17350.0,17770.0,18120.0,17970.0,17970.0,18370.0,19270.0,19760.0,20760.0,21320.0,22050.0,20980.0,21830.0,21910.0,21680.0,21920.0,22480.0
A,CLV20_EUR_HAB,B1GQ,DE,34690.0,35240.0,35130.0,34960.0,35400.0,35770.0,37230.0,38390.0,38840.0,36810.0,38430.0,39880.0,40010.0,40100.0,40850.0,41230.0,41880.0,42960.0,43390.0,43790.0,42020.0,43730.0,44230.0,43450.0,43110.0,43210.0
A,CLV20_EUR_HAB,B1GQ,DK,47150.0,47430.0,47490.0,47570.0,48770.0,49780.0,51510.0,51790.0,51270.0,48460.0,49010.0,49440.0,49260.0,49750.0,50110.0,50810.0,51950.0,53200.0,53920.0,54630.0,53540.0,56780.0,56530.0,56470.0,58160.0,59550.0
A,CLV20_EUR_HAB,B1GQ,EA19,30330.0,30890.0,31010.0,31060.0,31610.0,31990.0,32900.0,33700.0,33670.0,32070.0,32660.0,33150.0,32770.0,32660.0,33090.0,33690.0,34200.0,35030.0,35570.0,36050.0,33840.0,35990.0,37110.0,37030.0,37210.0,37610.0
A,CLV20_EUR_HAB,B1GQ,EA20,30040.0,30600.0,30730.0,30790.0,31330.0,31710.0,32620.0,33420.0,33400.0,31810.0,32400.0,32870.0,32500.0,32400.0,32820.0,33430.0,33940.0,34770.0,35320.0,35800.0,33610.0,35750.0,36880.0,36810.0,36990.0,37390.0
A,CLV20_EUR_HAB,B1GQ,EA21,29420.0,29990.0,30130.0,30200.0,30740.0,31130.0,32030.0,32830.0,32820.0,31260.0,31850.0,32330.0,31980.0,31890.0,32310.0,32920.0,33440.0,34270.0,34820.0,35310.0,33160.0,35280.0,36400.0,36340.0,36530.0,36940.0
A,CLV20_EUR_HAB,B1GQ,EE,10480.0,11160.0,12020.0,13010.0,13980.0,15400.0,17010.0,18400.0,17510.0,14980.0,15380.0,16590.0,17260.0,17630.0,18280.0,18650.0,19190.0,20270.0,20970.0,21650.0,20960.0,22670.0,22370.0,21210.0,21060.0,21250.0
A,CLV20_EUR_HAB,B1GQ,EL,16120.0,16780.0,17510.0,18480.0,19420.0,19590.0,20790.0,21470.0,21420.0,20490.0,19300.0,17420.0,16050.0,15800.0,16030.0,16100.0,16160.0,16430.0,16810.0,17210.0,15660.0,17110.0,18160.0,18600.0,19020.0,19400.0
A,CLV20_EUR_HAB,B1GQ,ES,22930.0,23700.0,23970.0,24220.0,24590.0,25000.0,25600.0,25990.0,25760.0,24590.0,24510.0,24260.0,23560.0,23310.0,23730.0,24720.0,25420.0,26110.0,26620.0,26930.0,23850.0,25440.0,26820.0,27150.0,27800.0,28320.0
A,CLV20_EUR_HAB,B1GQ,EU27_2020,25660.0,26170.0,26390.0,26530.0,27110.0,27530.0,28410.0,29200.0,29280.0,27970.0,28520.0,29030.0,28770.0,28740.0,29180.0,29810.0,30330.0,31140.0,31730.0,32270.0,30510.0,32470.0,33420.0,33390.0,33660.0,34110.0
A,CLV20_EUR_HAB,B1GQ,FI,36230.0,37100.0,37630.0,38300.0,39720.0,40680.0,42150.0,44210.0,44350.0,40570.0,41660.0,42460.0,41620.0,41020.0,40650.0,40700.0,41640.0,42910.0,43360.0,43910.0,42740.0,43800.0,44010.0,43280.0,43110.0,43010.0
A,CLV20_EUR_HAB,B1GQ,FR,32030.0,32400.0,32510.0,32600.0,33300.0,33680.0,34360.0,35010.0,34960.0,33800.0,34310.0,34990.0,34880.0,34990.0,35150.0,35370.0,35540.0,36140.0,36570.0,37160.0,34280.0,36470.0,37320.0,37760.0,38110.0,38330.0
A,CLV20_EUR_HAB,B1GQ,HR,8490.0,9100.0,9620.0,10150.0,10570.0,11020.0,11570.0,12160.0,12400.0,11570.0,11440.0,11470.0,11270.0,11340.0,11370.0,11760.0,12320.0,12910.0,13460.0,14020.0,12980.0,14750.0,15900.0,16490.0,17060.0,17590.0
A,CLV20_EUR_HAB,B1GQ,HU,8800.0,9180.0,9640.0,10050.0,10570.0,11050.0,11500.0,11550.0,11690.0,10920.0,11060.0,11300.0,11220.0,11490.0,12040.0,12530.0,12880.0,13460.0,14240.0,14980.0,14370.0,15470.0,16160.0,16050.0,16210.0,16370.0
A,CLV20_EUR_HAB,B1GQ,IE,39880.0,41350.0,43030.0,43600.0,45760.0,47310.0,48390.0,49450.0,46230.0,43450.0,43990.0,44510.0,44150.0,44890.0,48770.0,60210.0,60220.0,65370.0,69390.0,71720.0,75820.0,87160.0,91760.0,87810.0,88600.0,97990.0
A,CLV20_EUR_HAB,B1GQ,IS,43650.0,44720.0,44570.0,45270.0,48290.0,50880.0,52510.0,55670.0,55580.0,50780.0,50250.0,51310.0,51570.0,52880.0,53280.0,54760.0,57320.0,57910.0,59120.0,58770.0,54190.0,56150.0,59720.0,61170.0,59270.0,59200.0
A,CLV20_EUR_HAB,B1GQ,IT,31090.0,31690.0,31720.0,31570.0,31790.0,31850.0,32290.0,32570.0,31990.0,30110.0,30440.0,30550.0,29510.0,28920.0,28910.0,29210.0,29630.0,30160.0,30470.0,30680.0,28100.0,30760.0,32310.0,32630.0,32900.0,33080.0
A,CLV20_EUR_HAB,B1GQ,LT,6550.0,7030.0,7560.0,8430.0,9080.0,9940.0,10850.0,12190.0,12640.0,10880.0,11160.0,12140.0,12830.0,13480.0,14100.0,14630.0,15200.0,16090.0,17030.0,17870.0,17890.0,19040.0,19350.0,19220.0,19690.0,20260.0
A,CLV20_EUR_HAB,B1GQ,LU,89790.0,91530.0,93470.0,94720.0,97390.0,98260.0,102580.0,109100.0,106870.0,101540.0,103430.0,102120.0,101440.0,102010.0,102250.0,102530.0,104920.0,104020.0,103640.0,104310.0,102190.0,107570.0,104100.0,102250.0,101000.0,100380.0
A,CLV20_EUR_HAB,B1GQ,LV,6540.0,7050.0,7680.0,8410.0,9240.0,10430.0,11870.0,13220.0,12900.0,11020.0,10840.0,11380.0,12360.0,12750.0,13140.0,13750.0,14230.0,14850.0,15610.0,15820.0,15370.0,16580.0,16890.0,16770.0,16910.0,17520.0
A,CLV20_EUR_HAB,B1GQ,ME,,,,,,,5610.0,6000.0,6400.0,6010.0,6160.0,6360.0,6190.0,6390.0,6530.0,6690.0,6910.0,7120.0,7460.0,7780.0,6610.0,7500.0,8100.0,8620.0,8890.0,
A,CLV20_EUR_HAB,B1GQ,MK,,,,3370.0,3540.0,3720.0,3940.0,4210.0,4470.0,4480.0,4660.0,4800.0,4790.0,4950.0,5140.0,5360.0,5530.0,5610.0,5800.0,6070.0,5840.0,6170.0,6360.0,6540.0,6750.0,
A,CLV20_EUR_HAB,B1GQ,MT,17350.0,16910.0,17250.0,17770.0,17720.0,18120.0,18480.0,19340.0,20060.0,19630.0,20750.0,20860.0,21540.0,22600.0,23840.0,25520.0,25960.0,28530.0,29510.0,29480.0,27870.0,31420.0,31390.0,33380.0,34480.0,35000.0
A,CLV20_EUR_HAB,B1GQ,NL,40430.0,41060.0,40890.0,40740.0,41420.0,42160.0,43590.0,45180.0,45960.0,44050.0,44400.0,44980.0,44370.0,44230.0,44780.0,45530.0,46380.0,47390.0,48180.0,48970.0,46810.0,49490.0,51480.0,50660.0,50870.0,51520.0
A,CLV20_EUR_HAB,B1GQ,NO,53820.0,54700.0,55210.0,55480.0,57540.0,58860.0,60040.0,61460.0,61200.0,59450.0,59310.0,59350.0,60230.0,60260.0,60840.0,61450.0,61700.0,62850.0,63130.0,63630.0,62400.0,64640.0,66670.0,66140.0,66460.0,66740.0
A,CLV20_EUR_HAB,B1GQ,PL,6950.0,7040.0,7180.0,7440.0,7820.0,8080.0,8590.0,9170.0,9570.0,9810.0,10150.0,10680.0,10840.0,10930.0,11360.0,11870.0,12240.0,12870.0,13680.0,14310.0,14310.0,15380.0,15840.0,15950.0,16510.0,17170.0
A,CLV20_EUR_HAB,B1GQ,PT,18580.0,18810.0,18850.0,18600.0,18890.0,19000.0,19280.0,19720.0,19760.0,19120.0,19440.0,19110.0,18410.0,18330.0,18560.0,18920.0,19350.0,20020.0,20620.0,21150.0,19360.0,20390.0,21690.0,22130.0,22370.0,22560.0
A,CLV20_EUR_HAB,B1GQ,RO,4810.0,5060.0,5530.0,5690.0,6320.0,6650.0,7230.0,7870.0,8740.0,8330.0,8050.0,8460.0,8660.0,8710.0,9100.0,9430.0,9760.0,10620.0,11260.0,11760.0,11390.0,12130.0,12690.0,12970.0,13090.0,13190.0
A,CLV20_EUR_HAB,B1GQ,RS,3670.0,3930.0,4190.0,4390.0,4700.0,4990.0,5200.0,5630.0,5950.0,5790.0,5900.0,5950.0,5950.0,6010.0,5930.0,6040.0,6250.0,6430.0,6770.0,7130.0,7110.0,7740.0,8160.0,8510.0,8900.0,9140.0
A,CLV20_EUR_HAB,B1GQ,SE,37180.0,37580.0,38310.0,38890.0,40360.0,41330.0,42990.0,44080.0,43330.0,41130.0,43130.0,44150.0,43650.0,43770.0,44330.0,45790.0,46220.0,46420.0,46700.0,47410.0,46180.0,48300.0,48390.0,47960.0,48310.0,48850.0
A,CLV20_EUR_HAB,B1GQ,SI,15730.0,16160.0,16660.0,17180.0,17950.0,18610.0,19640.0,20930.0,21600.0,19770.0,19920.0,20010.0,19390.0,19210.0,19720.0,20170.0,20770.0,21830.0,22720.0,23330.0,22230.0,24040.0,24660.0,25120.0,25480.0,25680.0
A,CLV20_EUR_HAB,B1GQ,SK,8730.0,9020.0,9420.0,9880.0,10410.0,11070.0,12050.0,13340.0,14030.0,13230.0,14100.0,14540.0,14750.0,14830.0,15220.0,16000.0,16280.0,16730.0,17380.0,17760.0,17270.0,18320.0,18360.0,18750.0,19110.0,19270.0
A,CLV20_EUR_HAB,B1GQ,TR,4000.0,3730.0,3920.0,4090.0,4450.0,4790.0,5070.0,5260.0,5240.0,4920.0,5260.0,5750.0,5950.0,6360.0,6500.0,6690.0,6770.0,7170.0,7290.0,7270.0,7340.0,8130.0,8490.0,8920.0,9220.0,
A,CLV_PCH_PRE_HAB,B1GQ,AL,8.2,9.5,4.9,5.7,5.7,5.7,6.7,7.3,7.7,3.4,3.5,2.7,1.2,1.9,2.5,2.5,4.1,3.4,3.9,2.5,-2.8,10.0,6.1,,,
A,CLV_PCH_PRE_HAB,B1GQ,AT,2.9,0.9,1.0,0.7,1.9,1.6,2.7,3.4,1.1,-3.8,1.6,2.6,0.2,-0.9,0.0,0.3,0.8,1.6,2.0,1.3,-6.7,4.5,4.2,-1.6,-1.2,0.3
A,CLV_PCH_PRE_HAB,B1GQ,BA,,,,,,,,,,,,1.0,-0.7,2.5,1.3,4.5,3.4,3.5,4.1,3.0,-2.6,8.1,4.8,2.4,3.5,
A,CLV_PCH_PRE_HAB,B1GQ,BE,3.5,0.8,1.3,0.6,3.1,1.8,1.9,2.9,-0.3,-2.7,1.8,0.6,-0.4,-0.2,1.3,0.9,0.7,1.1,1.4,1.9,-5.2,5.8,3.2,0.7,0.5,0.5
A,CLV_PCH_PRE_HAB,B1GQ,BG,5.1,7.2,6.5,5.8,7.1,7.6,7.4,7.2,6.6,-2.9,2.2,4.7,1.9,0.9,2.2,4.7,4.4,4.1,3.7,5.3,-2.2,8.5,4.8,2.0,3.5,3.4
A,CLV_PCH_PRE_HAB,B1GQ,CH,3.1,1.1,-0.3,-1.0,1.9,2.3,3.5,3.1,1.3,-3.0,2.5,0.5,0.0,0.7,1.3,0.2,0.8,0.5,2.6,0.4,-3.0,5.4,2.7,-0.7,0.3,0.4
A,CLV_PCH_PRE_HAB,B1GQ,CY,4.9,2.8,2.5,1.4,3.6,3.4,3.0,2.9,1.1,-4.6,-0.4,-2.1,-4.7,-6.5,-1.7,3.2,6.0,4.9,5.1,4.5,-4.5,9.7,6.7,1.6,2.1,2.2
A,CLV_PCH_PRE_HAB,B1GQ,CZ,4.1,3.4,1.7,3.3,4.7,6.1,6.3,4.9,1.6,-5.4,2.5,2.0,-0.9,0.0,2.2,4.9,2.5,5.1,2.7,3.4,-4.9,4.0,0.4,-1.0,1.1,2.6
A,CLV_PCH_PRE_HAB,B1GQ,DE,2.8,1.6,-0.3,-0.5,1.3,1.0,4.1,3.1,1.2,-5.2,4.4,3.8,0.3,0.2,1.9,0.9,1.6,2.6,1.0,0.9,-4.0,4.1,1.2,-1.8,-0.8,0.2
A,CLV_PCH_PRE_HAB,B1GQ,DK,3.4,0.6,0.1,0.2,2.5,2.1,3.5,0.5,-1.0,-5.5,1.1,0.9,-0.4,1.0,0.7,1.4,2.2,2.4,1.4,1.3,-2.0,6.1,-0.4,-0.1,3.0,2.4
A,CLV_PCH_PRE_HAB,B1GQ,EA19,3.5,1.8,0.4,0.2,1.8,1.2,2.8,2.4,-0.1,-4.7,1.9,1.5,-1.1,-0.3,1.3,1.8,1.5,2.4,1.5,1.3,-6.1,6.4,3.1,-0.2,0.5,1.1
A,CLV_PCH_PRE_HAB,B1GQ,EA20,3.6,1.9,0.4,0.2,1.8,1.2,2.9,2.5,-0.1,-4.8,1.8,1.5,-1.1,-0.3,1.3,1.9,1.5,2.4,1.6,1.4,-6.1,6.4,3.1,-0.2,0.5,1.1
A,CLV_PCH_PRE_HAB,B1GQ,EA21,3.6,2.0,0.5,0.2,1.8,1.3,2.9,2.5,0.0,-4.7,1.9,1.5,-1.1,-0.3,1.3,1.9,1.6,2.5,1.6,1.4,-6.1,6.4,3.2,-0.2,0.5,1.1
A,CLV_PCH_PRE_HAB,B1GQ,EE,8.4,6.5,7.6,8.2,7.5,10.1,10.4,8.2,-4.8,-14.5,2.6,7.9,4.0,2.1,3.7,2.0,2.9,5.7,3.4,3.3,-3.2,8.2,-1.4,-5.2,-0.7,0.9
A,CLV_PCH_PRE_HAB,B1GQ,EL,3.7,4.1,4.3,5.5,5.1,0.9,6.1,3.2,-0.2,-4.4,-5.8,-9.7,-7.8,-1.6,1.5,0.4,0.4,1.7,2.3,2.4,-9.0,9.2,6.1,2.4,2.2,2.0
A,CLV_PCH_PRE_HAB,B1GQ,ES,4.7,3.4,1.1,1.1,1.5,1.6,2.4,1.5,-0.9,-4.6,-0.3,-1.0,-2.9,-1.1,1.8,4.2,2.8,2.7,1.9,1.2,-11.4,6.7,5.4,1.3,2.4,1.9
A,CLV_PCH_PRE_HAB,B1GQ,EU27_2020,3.7,2.0,0.9,0.5,2.2,1.6,3.2,2.8,0.3,-4.5,2.0,1.8,-0.9,-0.1,1.5,2.2,1.7,2.7,1.9,1.7,-5.4,6.4,2.9,-0.1,0.8,1.3
A,CLV_PCH_PRE_HAB,B1GQ,FI,5.5,2.4,1.4,1.8,3.7,2.4,3.6,4.9,0.3,-8.5,2.7,1.9,-2.0,-1.4,-0.9,0.1,2.3,3.1,1.0,1.3,-2.7,2.5,0.5,-1.7,-0.4,-0.2
