freq,ceparema,env_econ,nace_r2,unit,geo\TIME_PERIOD,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,CEPA1,EPS_INV_PP,A_EP_OTH,MIO_EUR,AT,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,EPS_INV_PP,A_EP_OTH,MIO_EUR,BE,,,,,,,,,58.1,55.5,58.5,67.0,70.6,70.9,65.0,77.2,82.1,,
A,CEPA1,EPS_INV_PP,A_EP_OTH,MIO_EUR,BG,,,,,,,,,7.4,0.0,0.6,0.2,1.7,0.1,0.0,0.2,2.1,,
A,CEPA1,EPS_INV_PP,A_EP_OTH,MIO_EUR,CH,,,,,,,,,26.8,24.6,19.2,30.1,30.1,31.9,58.8,60.1,50.3,,
A,CEPA1,EPS_INV_PP,A_EP_OTH,MIO_EUR,CY,,,,,,,,,,,,,0.0,,,,,,
A,CEPA1,EPS_INV_PP,A_EP_OTH,MIO_EUR,HR,,,,,,,,,1.1,1.2,1.1,1.2,,,,,,,
A,CEPA1,EPS_INV_PP,A_EP_OTH,MIO_EUR,LT,,,,,,,,,25.2,0.2,0.1,0.1,0.2,0.0,0.1,0.0,2.9,,
A,CEPA1,EPS_INV_PP,A_EP_OTH,MIO_EUR,LV,,,,,,,,,,,,,0.8,2.7,3.8,11.9,8.0,,
A,CEPA1,EPS_INV_PP,A_EP_OTH,MIO_EUR,MK,,,,,,,,,,,,,,,0.1,0.1,,,
A,CEPA1,EPS_INV_PP,A_EP_OTH,MIO_EUR,MT,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,EPS_INV_PP,A_EP_OTH,MIO_EUR,PL,,,,,,,,,14.6,19.6,10.1,10.3,9.8,13.6,15.7,23.8,40.1,,
A,CEPA1,EPS_INV_PP,A_EP_OTH,MIO_EUR,RO,,,,,,,,,4.5,6.1,10.3,5.1,1.5,2.5,0.8,0.8,7.4,,
A,CEPA1,EPS_INV_PP,A_EP_OTH,MIO_EUR,RS,,,,,,,,,0.1,0.0,0.1,0.0,0.0,0.0,0.0,6.3,13.3,,
A,CEPA1,EPS_INV_PP,A_EP_OTH,MIO_EUR,SI,,,,,,,,,4.3,9.7,3.1,5.9,8.1,3.7,10.7,9.5,14.6,,
A,CEPA1,EPS_INV_PP,A_EP_OTH,MIO_NAC,AT,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,EPS_INV_PP,A_EP_OTH,MIO_NAC,BE,,,,,,,,,58.1,55.5,58.5,67.0,70.6,70.9,65.0,77.2,82.1,,
A,CEPA1,EPS_INV_PP,A_EP_OTH,MIO_NAC,BG,,,,,,,,,7.4,0.0,0.6,0.2,1.7,0.1,0.0,0.2,2.1,,
A,CEPA1,EPS_INV_PP,A_EP_OTH,MIO_NAC,CH,,,,,,,,,32.5,26.2,20.9,33.5,34.8,35.5,63.0,65.0,50.5,,
A,CEPA1,EPS_INV_PP,A_EP_OTH,MIO_NAC,CY,,,,,,,,,,,,,0.0,,,,,,
A,CEPA1,EPS_INV_PP,A_EP_OTH,MIO_NAC,HR,,,,,,,,,1.2,1.2,1.1,1.2,,,,,,,
A,CEPA1,EPS_INV_PP,A_EP_OTH,MIO_NAC,LT,,,,,,,,,25.2,0.2,0.1,0.1,0.2,0.0,0.1,0.0,2.9,,
A,CEPA1,EPS_INV_PP,A_EP_OTH,MIO_NAC,LV,,,,,,,,,,,,,0.8,2.7,3.8,11.9,8.0,,
A,CEPA1,EPS_INV_PP,A_EP_OTH,MIO_NAC,MK,,,,,,,,,,,,,,,5.1,7.7,,,
A,CEPA1,EPS_INV_PP,A_EP_OTH,MIO_NAC,MT,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,EPS_INV_PP,A_EP_OTH,MIO_NAC,PL,,,,,,,,,61.2,81.9,44.2,43.8,41.9,58.4,69.6,108.9,188.1,,
A,CEPA1,EPS_INV_PP,A_EP_OTH,MIO_NAC,RO,,,,,,,,,19.9,27.0,46.1,23.4,7.0,12.0,3.8,4.1,36.3,,
A,CEPA1,EPS_INV_PP,A_EP_OTH,MIO_NAC,RS,,,,,,,,,14.3,1.4,7.0,0.1,1.7,0.4,3.6,735.2,1559.8,,
A,CEPA1,EPS_INV_PP,A_EP_OTH,MIO_NAC,SI,,,,,,,,,4.3,9.7,3.1,5.9,8.1,3.7,10.7,9.5,14.6,,
A,CEPA1,EPS_INV_PP,B,MIO_EUR,AT,,,,,,,,,0.6,3.0,1.4,0.8,2.6,3.2,2.0,2.6,8.8,,
A,CEPA1,EPS_INV_PP,B,MIO_EUR,BA,,,,,,,,,,,,,,,,,0.1,,
A,CEPA1,EPS_INV_PP,B,MIO_EUR,BE,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,EPS_INV_PP,B,MIO_EUR,BG,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,,
A,CEPA1,EPS_INV_PP,B,MIO_EUR,CH,,,,,,,,,1.8,1.1,0.1,0.1,0.0,0.1,1.2,1.2,1.3,,
A,CEPA1,EPS_INV_PP,B,MIO_EUR,DE,,,,,,,,,17.6,13.2,11.0,7.7,7.5,6.0,9.6,9.6,20.7,,
A,CEPA1,EPS_INV_PP,B,MIO_EUR,DK,,,,,,,,,0.0,0.0,0.5,0.6,,,,,,,
A,CEPA1,EPS_INV_PP,B,MIO_EUR,EL,,,,,,,,,1.0,0.9,0.3,0.4,0.7,0.4,0.8,1.0,0.5,,
A,CEPA1,EPS_INV_PP,B,MIO_EUR,FI,,,,,,,,,,,,0.3,0.0,,,,,,
A,CEPA1,EPS_INV_PP,B,MIO_EUR,HR,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,
