freq,ceparema,unit,geo\TIME_PERIOD,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,CEPA1,MIO_EUR,AT,1.2,1.3,0.8,121.8,90.9,73.4,108.3,80.5,6.2,1.9,0.0,0.0,1.5,2.1,2.2,1.7,5.0,,
A,CEPA1,MIO_EUR,BE,,,,,,,,,3.5,2.7,2.0,2.8,2.1,4.6,5.0,63.3,53.5,,
A,CEPA1,MIO_EUR,BG,0.3,1.0,0.1,0.5,0.1,0.3,0.1,1.1,1.7,0.1,1.0,1.2,0.4,0.1,0.2,0.2,3.5,,
A,CEPA1,MIO_EUR,CH,,,,,,,,,1.6,1.7,1.4,2.3,2.6,3.6,4.1,3.9,4.4,,
A,CEPA1,MIO_EUR,CY,,,,,,,,,,,,,0.6,0.2,0.0,0.1,0.0,,
A,CEPA1,MIO_EUR,CZ,,,,,,,,,,,,,0.2,0.3,3.8,2.5,0.3,,
A,CEPA1,MIO_EUR,DE,,,,,,,,,,,,,355.5,300.9,322.9,40.9,41.8,,
A,CEPA1,MIO_EUR,DK,1.2,2.2,3.2,3.2,1.9,2.5,1.5,1.8,-0.4,-0.7,-0.3,-0.5,-0.4,-0.8,-0.1,0.6,0.8,,
A,CEPA1,MIO_EUR,EE,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,MIO_EUR,EL,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,MIO_EUR,ES,,,,,,,,,36.0,46.0,2.0,45.0,51.0,42.0,88.0,132.0,112.0,138.2,
A,CEPA1,MIO_EUR,EU27_2020,645.3,666.5,685.4,960.9,854.7,1008.6,804.9,808.4,642.6,607.1,428.4,530.3,580.6,547.7,720.6,507.3,485.5,592.7,557.9
A,CEPA1,MIO_EUR,FI,,,,,,,,,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.4,0.1,,
A,CEPA1,MIO_EUR,FR,6.2,6.2,8.2,9.3,9.3,9.3,9.3,9.8,11.0,10.6,10.4,22.5,7.6,8.3,10.1,14.7,14.7,,
A,CEPA1,MIO_EUR,HR,,,,,,,,,0.6,0.6,0.5,0.5,0.4,0.5,0.7,0.7,0.7,,
A,CEPA1,MIO_EUR,HU,,,,,,,,,1.1,13.8,0.0,0.3,0.0,0.1,10.3,2.6,0.2,,
A,CEPA1,MIO_EUR,IE,,,,,,,,,8.5,10.7,7.9,13.9,9.1,9.2,15.8,20.9,5.2,,
A,CEPA1,MIO_EUR,IS,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,MIO_EUR,IT,,,,,,,,,,,13.9,9.6,8.1,12.1,47.9,31.3,58.4,,
A,CEPA1,MIO_EUR,LT,1.0,1.3,0.8,0.8,0.5,1.8,1.8,1.4,1.1,0.9,0.8,5.1,4.7,6.5,3.7,2.4,2.8,,
A,CEPA1,MIO_EUR,LU,,,10.3,14.0,14.2,6.2,4.1,0.7,2.1,2.3,1.9,1.8,2.6,2.1,1.1,3.9,2.7,,
A,CEPA1,MIO_EUR,LV,,,0.3,0.8,2.6,11.6,14.2,1.4,17.3,1.3,0.7,4.9,4.5,6.3,6.9,10.3,5.4,,
A,CEPA1,MIO_EUR,MT,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,,
A,CEPA1,MIO_EUR,NL,,,,,,,,43.1,42.7,23.8,19.1,10.3,10.2,11.5,14.4,13.6,15.2,,
A,CEPA1,MIO_EUR,NO,,,,,,,,,7.8,14.8,14.0,14.8,15.4,21.8,22.1,21.1,9.8,,
